algorithm,n,input_type,time_ns,depth,operations
MergeSort,100,random,48000,5,552
QuickSort,100,random,79100,15,950
DeterministicSelect,100,random,87300,7,714
MergeSort,100,sorted,12600,5,84
QuickSort,100,sorted,102000,11,740
DeterministicSelect,100,sorted,55700,7,537
MergeSort,100,reverse,31800,5,460
QuickSort,100,reverse,50000,15,804
DeterministicSelect,100,reverse,44800,6,674
MergeSort,100,duplicate,30300,5,525
QuickSort,100,duplicate,97000,9,697
DeterministicSelect,100,duplicate,25400,2,355
MergeSort,500,random,200600,7,4042
QuickSort,500,random,347200,17,5940
DeterministicSelect,500,random,211000,8,3734
MergeSort,500,sorted,30800,7,436
QuickSort,500,sorted,88700,19,5769
DeterministicSelect,500,sorted,107000,8,2935
MergeSort,500,reverse,361000,7,3192
QuickSort,500,reverse,83500,19,5396
DeterministicSelect,500,reverse,128100,7,3850
MergeSort,500,duplicate,258400,7,3936
QuickSort,500,duplicate,101200,12,4474
DeterministicSelect,500,duplicate,35700,1,1528
MergeSort,1000,random,180000,8,9133
QuickSort,1000,random,153100,25,15577
DeterministicSelect,1000,random,179600,8,7892
MergeSort,1000,sorted,11500,8,872
QuickSort,1000,sorted,98800,23,13478
DeterministicSelect,1000,sorted,140200,10,5618
MergeSort,1000,reverse,86500,8,6884
QuickSort,1000,reverse,105300,20,12055
DeterministicSelect,1000,reverse,140300,10,7866
MergeSort,1000,duplicate,94100,8,8852
QuickSort,1000,duplicate,178300,15,10777
DeterministicSelect,1000,duplicate,119400,1,3081
MergeSort,5000,random,783300,10,58460
QuickSort,5000,random,1115600,27,88152
DeterministicSelect,5000,random,737500,12,40737
MergeSort,5000,sorted,49000,10,4488
QuickSort,5000,sorted,612000,29,79191
DeterministicSelect,5000,sorted,321200,12,30471
MergeSort,5000,reverse,546100,10,44324
QuickSort,5000,reverse,396300,29,84030
DeterministicSelect,5000,reverse,1767500,12,41406
MergeSort,5000,duplicate,1345900,10,55912
QuickSort,5000,duplicate,554100,16,60805
DeterministicSelect,5000,duplicate,747700,1,15431
MergeSort,10000,random,2829400,11,126909
QuickSort,10000,random,1984000,35,185350
DeterministicSelect,10000,random,571600,13,82541
MergeSort,10000,sorted,531400,11,8976
QuickSort,10000,sorted,731900,34,166567
DeterministicSelect,10000,sorted,272000,13,58833
MergeSort,10000,reverse,3878400,11,93648
QuickSort,10000,reverse,813300,33,173510
DeterministicSelect,10000,reverse,600800,12,83887
MergeSort,10000,duplicate,2394900,11,121701
QuickSort,10000,duplicate,529500,21,144610
DeterministicSelect,10000,duplicate,123700,1,30867
MergeSort,20000,random,10487700,12,274564
QuickSort,20000,random,2441600,33,375092
DeterministicSelect,20000,random,659200,15,169327
MergeSort,20000,sorted,112000,12,17952
QuickSort,20000,sorted,1225400,32,376530
DeterministicSelect,20000,sorted,462600,13,123410
MergeSort,20000,reverse,2098700,12,197296
QuickSort,20000,reverse,1370400,32,362012
DeterministicSelect,20000,reverse,793900,14,170280
MergeSort,20000,duplicate,1616100,12,262320
QuickSort,20000,duplicate,1845100,20,290960
DeterministicSelect,20000,duplicate,414200,2,70101
ClosestPair,100,random,635100,7,129
ClosestPair,500,random,2690500,9,559
ClosestPair,1000,random,4032200,10,1149
ClosestPair,5000,random,14700300,12,6448
ClosestPair,10000,random,19287700,13,12955
